file,bucket,blocking,via,first_error
src/application/static_subject_registry.cpp,B,spdlog/fmt/json via shim,,
src/printer/active_material_provider.cpp,A,,,
src/printer/afc_config_manager.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/afc_defaults.cpp,A,,,
src/printer/ams_backend.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_backend_ace.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_backend_ad5x_ifs.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_backend_afc.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_backend_cfs.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_backend_happy_hare.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_backend_mock.cpp,C,rtti (CONFIG_COMPILER_CXX_RTTI=y flips this),,/home/pbrown/Code/Printing/helixscreen/src/printer/ams_backend_mock.cpp:3092:52: error: 'const class std::any' has no member named 'type'
src/printer/ams_backend_qidi.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_backend_snapmaker.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_backend_toolchanger.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_state.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/ams_subscription_backend.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/consumption_sink.cpp,B,spdlog/fmt/json via shim,,
src/printer/detection_manager.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/filament_catalog.cpp,B,spdlog/fmt/json via shim,,
src/printer/filament_consumption_tracker.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/filament_mapper.cpp,A,,,
src/printer/filament_slot_override_store.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/hardware_role_registry.cpp,B,spdlog/fmt/json via shim,,
src/printer/hardware_validator.cpp,B,spdlog/fmt/json via shim,,
src/printer/hh_defaults.cpp,A,,,
src/printer/macro_executor.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/macro_fan_analyzer.cpp,B,spdlog/fmt/json via shim,,
src/printer/macro_manager.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/macro_modification_manager.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/macro_param_cache.cpp,B,spdlog/fmt/json via shim,,
src/printer/pause_cause.cpp,A,,,
src/printer/power_device_state.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/pre_print_option.cpp,B,spdlog/fmt/json via shim,,
src/printer/preflight_validator.cpp,A,,,
src/printer/print_lifecycle_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_calibration_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_capabilities_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_composite_visibility_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_detector.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_discovery.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/printer_excluded_objects_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_fan_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_hardware.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_hardware_validation_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_led_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_motion_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_network_state.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/printer_plugin_status_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_print_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_recovery_service.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/printer_state.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/printer_temperature_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/printer_versions_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/sensor_state.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/slot_registry.cpp,A,,,
src/printer/snapmaker_resume.cpp,A,,,
src/printer/spoolman_manager.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/spoolman_types.cpp,A,,,
src/printer/standard_macros.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/timelapse_state.cpp,B,spdlog/fmt/json via shim,,
src/printer/tool_state.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/printer/u1_stock_detection_source.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/system/alsa_device_enum.cpp,B,spdlog/fmt/json via shim,,
src/system/alsa_sound_backend.cpp,B,spdlog/fmt/json via shim,,
src/system/async_lifetime_guard.cpp,B,spdlog/fmt/json via shim,,
src/system/audio_settings_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/bluetooth_loader.cpp,D,dlfcn.h,,/home/pbrown/Code/Printing/helixscreen/src/system/bluetooth_loader.cpp:9:10: fatal error: dlfcn.h: No such file or directory
src/system/brother_pt_bt_printer.cpp,B,spdlog/fmt/json via shim,,
src/system/brother_pt_protocol.cpp,A,,,
src/system/brother_ql_bt_printer.cpp,B,spdlog/fmt/json via shim,,
src/system/brother_ql_printer.cpp,B,spdlog/fmt/json via shim,,
src/system/brother_ql_protocol.cpp,A,,,
src/system/bt_print_utils.cpp,D,Bluetooth stack (BlueZ/RFCOMM); first error: poll.h,,/home/pbrown/Code/Printing/helixscreen/src/system/bt_print_utils.cpp:13:10: fatal error: poll.h: No such file or directory
src/system/camera_stream.cpp,D,hv/requests.h,,/home/pbrown/Code/Printing/helixscreen/src/system/camera_stream.cpp:10:10: fatal error: hv/requests.h: No such file or directory
src/system/capability_overrides.cpp,B,spdlog/fmt/json via shim,,
src/system/cjk_font_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/cli_args.cpp,B,spdlog/fmt/json via shim,,
src/system/config.cpp,B,spdlog/fmt/json via shim,,
src/system/config_backup.cpp,B,spdlog/fmt/json via shim,,
src/system/crash_error_log_sink.cpp,C,spdlog/sinks/base_sink.h,include/system/crash_error_log_sink.h,/home/pbrown/Code/Printing/helixscreen/include/system/crash_error_log_sink.h:7:10: fatal error: spdlog/sinks/base_sink.h: No such file or directory
src/system/crash_handler.cpp,D,ucontext.h,,/home/pbrown/Code/Printing/helixscreen/src/system/crash_handler.cpp:41:10: fatal error: ucontext.h: No such file or directory
src/system/crash_history.cpp,B,spdlog/fmt/json via shim,,
src/system/crash_reporter.cpp,D,hv/requests.h,,/home/pbrown/Code/Printing/helixscreen/src/system/crash_reporter.cpp:7:10: fatal error: hv/requests.h: No such file or directory
src/system/debug_bundle_collector.cpp,D,hv/requests.h,,/home/pbrown/Code/Printing/helixscreen/src/system/debug_bundle_collector.cpp:11:10: fatal error: hv/requests.h: No such file or directory
src/system/display_settings_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/helix_lvgl_anomaly.cpp,A,,,
