sha256	patch	kind	dir	file	marker	label	note
7e736127c8145450ff20010cde6b3af6075b96dbfb1f2a26d01137ec5e53595e	lvgl_sdl_window.patch	+	LVGL_DIR	src/drivers/sdl/lv_sdl_window.c	#include <android/log.h>	LVGL SDL window patch	
c8791806e64a203ec99950b37bc6c3e1a6a3a7bad9284b3eebf2bec5b43635f2	lvgl_sdl_sw_android_debug.patch	+	LVGL_DIR	src/drivers/sdl/lv_sdl_sw.c	lv_display_set_buffers(display, ddata->buf1, ddata->buf2, buffer_size_bytes, sdl_render_mode());	LVGL SDL SW android debug + blendmode fix patch	
19a336a288b1f6a03d4d1f3baec6d9d0e70bef7559f9ef903ff6280110606695	lvgl_theme_breakpoints.patch	+	LVGL_DIR	src/themes/default/lv_theme_default.c	#define PAD_DEF     LV_DPX_CALC(theme->disp_dpi, theme->disp_size == DISP_LARGE ? 20 : theme->disp_size == DISP_MEDIUM ? 16 : 12)	LVGL theme breakpoints patch	
fdc6ce0f593aedde2aad55dc51e31c98ba3bb71c487ba6ab9fe0362476f53ce5	lvgl_fbdev_stride_bpp.patch	+	LVGL_DIR	src/drivers/display/fb/lv_linux_fbdev.c	/* AD5M and some other devices report incorrect bits_per_pixel via VSCREENINFO.	LVGL fbdev stride bpp detection patch	
996adfbb83a901e73524f3b64956a8428b880a71b591f7894b8395aa5d7eaefc	lvgl_fbdev_skip_unblank.patch	+	LVGL_DIR	src/drivers/display/fb/lv_linux_fbdev.c	bool skip_unblank;	LVGL fbdev skip-unblank patch	
9048a46097837ee598a075499f4c1770d618ff918b063698cd07d4e8bddd02b8	lvgl-fbdev-bgr-swap.patch	+	LVGL_DIR	src/drivers/display/fb/lv_linux_fbdev.c	bool swap_rb;	LVGL fbdev BGR swap patch	
d774eea038f0043f7f78d04aa20eb989d367e3d1f3a73a32011eaeb50d50d23d	lvgl-fbdev-buffer-align.patch	+	LVGL_DIR	src/drivers/display/fb/lv_linux_fbdev.c	/* Over-allocate to guarantee LV_DRAW_BUF_ALIGN alignment.	LVGL fbdev buffer alignment patch	
b66fb788c2daf7ded7ae456a628d5d953290d80b0f7f386de816582f0089f8db	lvgl_observer_debug.patch	+	LVGL_DIR	src/core/lv_observer.c	LV_LOG_WARN("Subject type is not LV_SUBJECT_TYPE_INT (ptr=%p, type=%d)", (void*)subject, subject->type);	LVGL observer debug info patch	
3f11e280fce4723d4c3c0108cb63d111bd696826f3bd7543c461884c271d8f12	lvgl_observer_remove_null_guard.patch	+	LVGL_DIR	src/core/lv_observer.c	/*Subject may have been freed already (e.g. XML component scope teardown	LVGL observer remove NULL guard patch	
aace8280373e429104930657de20338d8b506ef6fb7b5a7e8fd95bbea0bbf972	lvgl_observer_null_guards.patch	+	LVGL_DIR	src/core/lv_observer.c	/* Telemetry hook provided by helix_lvgl_anomaly.cpp — reports LVGL anomalies	LVGL observer subject NULL guards patch	
d9775142fc0d336d5d83afc2983ae0ec8f06a6078f361a80839015d2b781812e	lvgl_slider_scroll_chain.patch	+	LVGL_DIR	src/widgets/slider/lv_slider.c	/* Block perpendicular scroll chain while dragging (better touchscreen UX) */	LVGL slider scroll chain patch	
1b2b63ae2a173f16d30ef1314aa876c54022d6219a515a91a1f312c12a26dd37	lvgl-strdup-null-guard.patch	+	LVGL_DIR	src/stdlib/builtin/lv_string_builtin.c	if(src == NULL) return NULL;	LVGL strdup NULL guard patch	
c30bdec885f77241e055143c08dedab584a8e95092579b71a3532cc80c2f2d83	lvgl_blend_null_guard.patch	+	LVGL_DIR	src/draw/sw/blend/lv_draw_sw_blend.c	if(layer == NULL || layer->draw_buf == NULL) {	LVGL blend NULL guard patch	
addca844e4a373b57b34061cd9ad53d5ac8a1d8557bd746c38ca81898dd58f0b	lvgl_blend_buf_bounds_clip.patch	+	LVGL_DIR	src/draw/sw/blend/lv_draw_sw_blend.c	/*Clip blend_area to the layer's actual buffer bounds.	LVGL blend buffer bounds clip patch	
0242b29773037724650322be6fd98d0e4b9bb061502798f16d5a232d63fda70e	lvgl_blend_color_null_guard.patch	+	LVGL_DIR	src/draw/sw/blend/lv_draw_sw_blend_to_a8.c	if(dsc->dest_buf == NULL || dsc->dest_w <= 0 || dsc->dest_h <= 0) {	LVGL blend color NULL guard patch	
c071d2b6a9a55ac630d188fef1e208bacd788263d738b8e26d7b5823892941bf	lvgl-fix-signed-unsigned-draw-coords.patch	+	LVGL_DIR	src/draw/lv_draw_buf.c	LV_LOG_WARN("coordinates out of range, x: %" LV_PRIu32 ", y: %"LV_PRIu32", w: %"LV_PRIu32", h: %"LV_PRIu32, x, y,	LVGL draw-area clip patch	
7355633a6a39b095424200e1507bba0f03e3d99ca7de2c94d7975a4637c2a4b3	lvgl_draw_render_thread_acquire.patch	+	LVGL_DIR	src/draw/lv_draw_private.h	* Accessors for `lv_draw_task_t.state`. Every access to that field must go	LVGL render-thread acquire/release barrier patch (ARM64 layer-buffer UAF)	
f695f708922c59176f9b02a5dd78d9a693b5bb5fd9f773ad395e4fb8c23b70f9	lvgl_draw_sw_label_null_guard.patch	+	LVGL_DIR	src/draw/sw/lv_draw_sw_letter.c	/* Telemetry hook provided by helix_lvgl_anomaly.cpp — reports LVGL anomalies	LVGL label draw NULL font guard patch	
9625a47df0cab37fb80ab6df8149cb93e6c3abcd3569fc6108b5229857a261ca	lvgl-drm-flush-rotation.patch	+	LVGL_DIR	src/drivers/display/drm/lv_linux_drm.c	uint64_t plane_rotation; /* DRM_MODE_ROTATE_* bitmask, 0 = unset */	LVGL DRM flush rotation patch	
2c98295f38100ffb2d56394b67210609c8191c1383e0e94f62002b38c5e070ae	lvgl-drm-egl-getters.patch	+	LVGL_DIR	src/drivers/display/drm/lv_linux_drm_egl.c	int lv_linux_drm_get_fd(lv_display_t * disp)	LVGL DRM EGL getters patch	
03eb7fb3a731b4b658282bce6178cf012409cde66b562896fe4541ca51e488ba	lvgl-drm-preferred-mode.patch	+	LVGL_DIR	src/drivers/display/drm/lv_linux_drm.h	#include <stdint.h>	LVGL DRM preferred mode patch (#766)	
328239c28b2ef88c383db39c1069bc9716ea27ab89c7cad4ff68062159accf2e	lvgl-drm-set-master.patch	+	LVGL_DIR	src/drivers/display/drm/lv_linux_drm.c	* Acquire DRM master before any KMS modesetting. The kernel grants master	LVGL DRM set-master patch	
8614326122167345ac84c5db7ec92e85bd6c68089c62ca165c3aa811c4dcd924	lvgl-drm-mmap64.patch	+	LVGL_DIR	src/drivers/display/drm/lv_linux_drm.c	/* DRM hands out dumb-buffer mmap offsets from DRM_FILE_PAGE_OFFSET_START, which	LVGL DRM 64-bit mmap offset patch	
db1b6baa61f594d68c0e454f0882e8bcbca490ff7ba3e67ba41b3f5645f4def5	lvgl_refr_reshape_null_guard.patch	+	LVGL_DIR	src/core/lv_refr.c	static bool layer_reshape_draw_buf(lv_layer_t * layer, uint32_t stride)	LVGL refr reshape NULL guard patch	
272cda8822a906ea5d2668845e3b04419de0fd14c93d8af8203392c093e0e44c	lvgl_img_null_guard.patch	+	LVGL_DIR	src/draw/sw/lv_draw_sw_img.c	if(img_start == NULL || mask_start == NULL) {	LVGL img goto_xy NULL guard patch	
a77448564880c07d61dee0ca155ab2985392aa3e4fe86c2e78db379ee0da6d83	lvgl_img_warn_obj_name.patch	+	LVGL_DIR	src/widgets/image/lv_image.c	/* HelixScreen: include obj + parent name so telemetry can locate the	LVGL image-warn obj-name patch	
a989b086380e14e82ab9a7c26062c25d96dc5f9686905231a1bcba630a919421	lvgl_blur_null_guard.patch	+	LVGL_DIR	src/draw/sw/lv_draw_sw_blur.c	if(buf_column_start == NULL) continue;	LVGL blur goto_xy NULL guard patch	
fa54893e2ef72e9eccd74b8e4881b691d30c5329ffc5dfaed8ba63afee5b9beb	lvgl_obj_pos_null_guards.patch	+	LVGL_DIR	src/core/lv_obj_pos.c	/* Telemetry hook provided by helix_lvgl_anomaly.cpp — reports LVGL anomalies	LVGL obj_pos NULL guards patch (blur_walk_cb + layout_update_core)	
6c765bbfb30d1480564adc80976b4a3d9420a140609402ede8274a83832b0b26	lvgl_grid_update_guard.patch	+	LVGL_DIR	src/layouts/grid/lv_grid.c	#include "../../stdlib/lv_sprintf.h"	LVGL grid_update freed-container guard patch (#973)	
a6535f0a396a87f9db4c773621f11ba19b5b867dc0a495f3abf712487540e99e	lvgl_draw_buf_oom_guard.patch	-	LVGL_DIR	src/draw/lv_draw_buf.c	LV_ASSERT_MALLOC(draw_buf);	LVGL draw_buf OOM guard patch	
97a729022ef08e877c453e0e02148afd0d60f8affed4040c5167b409f06f1e01	lvgl-evdev-protocol-a.patch	+	LVGL_DIR	src/drivers/evdev/lv_evdev.c	#include <stdlib.h> /* getenv — #943 touch-range diagnostic */	LVGL evdev Protocol-A touch release patch	
f8f8a63f5fa75581768630849cf28b19cd88bf664a3d8d4006433a5e255ba612	lvgl_arc_draw_guard.patch	+	LVGL_DIR	src/draw/lv_draw_arc.c	/*Guard: radius too small for stroke width — return full bounding box	LVGL arc draw guard patch	
4bfddebb4f2f1bfcca60a59c391ffa8545137a6de7baa1839715b991db22b0cd	lvgl_arc_subject_null_guard.patch	+	LVGL_DIR	src/widgets/arc/lv_arc.c	if(subject == NULL) {	LVGL arc subject NULL guard patch	
33c01e070903f6984f14f2e8be5476f742a88b545f8714f89b1373d64552a602	lvgl_draw_sw_img_buf_height_guard.patch	+	LVGL_DIR	src/draw/sw/lv_draw_sw_img.c	buf_h = LV_CLAMP(1, buf_h, blend_h);	LVGL draw_sw_img buf_h guard patch (upstream ca18403)	
09e4aba2b02f74ee091c21b18047e9ea082043218f8926cce12d736d191081a2	lvgl_lodepng_bpp_guard.patch	+	LVGL_DIR	src/libs/lodepng/lodepng.c	/*This port allocates the output as a fixed ARGB8888 draw buffer (4 bytes per	LVGL lodepng bit-depth guard (16-bit PNG heap overflow)	
79547509de33250662b8ba582cb89a6214f88a79b0272d5ea9cd33e3fe55569b	lvgl_drm_egl_render_mode_fix.patch	-	LVGL_DIR	src/drivers/display/drm/lv_linux_drm_egl.c	lv_display_set_render_mode(display, LV_DISPLAY_RENDER_MODE_DIRECT);	LVGL DRM EGL render mode fix (upstream ce112eb)	
6be344ce161fe2057c55be8b3613ddc9fee1e122dcc624af444d7e35e52c0b5d	lvgl-egl-vsync.patch	+	LVGL_DIR	src/drivers/opengles/lv_opengles_egl.h	* Choose whether presenting a frame waits for the previous one to reach the screen.	LVGL EGL vsync setter patch	
2a4bb08973a98f6ff88a4ffc6d9c42a6a7f53443e6e8f03d2e97b1b1405acf21	lvgl-egl-partial-upload.patch	+	LVGL_DIR	src/drivers/display/drm/lv_linux_drm.h	* @brief Send the display texture only the areas LVGL flushed, instead of the whole frame	LVGL EGL partial upload patch	
dfdee6e50158312bf829a73c024e3cf186497f4532ea51608e18c4032d02ee82	lvgl-egl-xrgb-shader.patch	+	LVGL_DIR	src/drivers/opengles/lv_opengles_driver.h	/** lv_opengles_render_display() draws an XRGB8888 display with its X byte ignored */	LVGL EGL XRGB display shader patch	
9f5af92c6c5e48638f2cb486ee8800afa5f01a2124d31e1c238e4b67c7cb60e6	lvgl_texture_cache_null_guard.patch	+	LVGL_DIR	src/draw/opengles/lv_draw_opengles.c	if(lhs->draw_dsc == NULL || rhs->draw_dsc == NULL) {	LVGL texture cache NULL guard patch (upstream ec053a0)	
